epoc (ms),timestamp (+0100),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1739458224818,2025-02-13T15.50.24.818,0.692,0.061,0.793,0.061
1739458224819,2025-02-13T15.50.24.819,0.693,0.061,0.854,0.122
1739458224822,2025-02-13T15.50.24.822,0.696,0.000,0.915,0.000
1739458224825,2025-02-13T15.50.24.825,0.699,0.122,0.976,0.122
1739458224826,2025-02-13T15.50.24.826,0.700,0.244,1.098,0.183
1739458224829,2025-02-13T15.50.24.829,0.703,0.183,1.098,0.061
1739458224832,2025-02-13T15.50.24.832,0.706,0.122,0.915,0.000
1739458224835,2025-02-13T15.50.24.835,0.709,0.183,0.915,0.122
1739458224837,2025-02-13T15.50.24.837,0.711,0.244,0.976,0.122
1739458224840,2025-02-13T15.50.24.840,0.714,0.000,0.854,-0.061
1739458224842,2025-02-13T15.50.24.842,0.716,-0.122,0.793,-0.122
1739458224844,2025-02-13T15.50.24.844,0.718,0.000,0.793,0.061
1739458224847,2025-02-13T15.50.24.847,0.721,0.183,0.915,0.061
1739458224850,2025-02-13T15.50.24.850,0.724,0.122,0.793,0.061
1739458224851,2025-02-13T15.50.24.851,0.725,0.000,0.671,0.000
1739458224854,2025-02-13T15.50.24.854,0.728,0.000,0.854,0.122
1739458224857,2025-02-13T15.50.24.857,0.731,0.061,0.793,0.000
1739458224860,2025-02-13T15.50.24.860,0.734,0.183,0.976,0.183
1739458224862,2025-02-13T15.50.24.862,0.736,0.061,0.854,0.061
1739458224864,2025-02-13T15.50.24.864,0.738,0.000,0.854,0.000
1739458224867,2025-02-13T15.50.24.867,0.741,0.061,1.220,0.183
1739458224869,2025-02-13T15.50.24.869,0.743,0.061,0.915,0.000
1739458224872,2025-02-13T15.50.24.872,0.746,0.061,0.915,0.061
1739458224875,2025-02-13T15.50.24.875,0.749,0.061,1.159,-0.061
1739458224878,2025-02-13T15.50.24.878,0.752,0.061,1.037,0.122
1739458224879,2025-02-13T15.50.24.879,0.753,0.061,0.854,0.122
1739458224882,2025-02-13T15.50.24.882,0.756,0.122,0.915,0.061
1739458224885,2025-02-13T15.50.24.885,0.759,0.183,0.915,0.061
1739458224886,2025-02-13T15.50.24.886,0.760,-0.122,0.915,0.122
1739458224889,2025-02-13T15.50.24.889,0.763,0.000,0.854,-0.122
1739458224892,2025-02-13T15.50.24.892,0.766,-0.122,0.976,0.061
1739458224895,2025-02-13T15.50.24.895,0.769,0.122,0.854,0.061
1739458224897,2025-02-13T15.50.24.897,0.771,0.000,0.793,0.122
1739458224900,2025-02-13T15.50.24.900,0.774,0.061,1.037,0.000
1739458224903,2025-02-13T15.50.24.903,0.777,0.061,1.037,0.183
1739458224905,2025-02-13T15.50.24.905,0.779,0.122,0.976,0.122
1739458224907,2025-02-13T15.50.24.907,0.781,0.122,1.037,0.122
1739458224910,2025-02-13T15.50.24.910,0.784,0.000,1.098,0.183
1739458224913,2025-02-13T15.50.24.913,0.787,0.000,1.037,0.122
1739458224914,2025-02-13T15.50.24.914,0.788,0.000,0.854,0.000
1739458224917,2025-02-13T15.50.24.917,0.791,0.183,0.976,0.000
1739458224920,2025-02-13T15.50.24.920,0.794,0.183,1.037,0.122
1739458224922,2025-02-13T15.50.24.922,0.796,0.000,0.976,0.061
1739458224925,2025-02-13T15.50.24.925,0.799,0.000,0.915,-0.122
1739458224927,2025-02-13T15.50.24.927,0.801,0.000,0.854,0.061
1739458224930,2025-02-13T15.50.24.930,0.804,0.061,0.915,0.244
1739458224932,2025-02-13T15.50.24.932,0.806,0.122,1.037,0.244
1739458224935,2025-02-13T15.50.24.935,0.809,0.000,1.098,0.183
