Timestamp,Acc x (g),Acc y (g),Acc z (g),Gyro x (deg/s),Gyro y (deg/s),Gyro z (deg/s),Beccheggio/Pitch (deg/s),Rollio/Roll (deg/s),Imbardata/Yaw (deg/s),Mag x (microTesla),Mag y (microTesla),Mag z (microTesla),Pressione (milliBar),Altitudine (m)
1.706,0.116,-0.152,0.979,-0.305,3.598,0.976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.717,0.1145,-0.16,0.971,6.524,12.439,4.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.727,0.113,-0.168,0.963,4.695,9.329,3.293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.736,0.1295,-0.1775,0.965,-1.707,3.902,3.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.746,0.146,-0.187,0.967,5.061,11.22,6.341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.756,0.111,-0.155,0.983,3.537,8.293,5.854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.767,0.114,-0.151,0.967,3.11,7.805,5.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.777,0.117,-0.147,0.951,5.366,7.5,4.756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.787,0.109,-0.15,0.957,5.61,6.037,4.024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.797,0.117,-0.157,0.983,4.268,6.28,4.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.806,0.117,-0.164,0.988,5.427,8.902,5.488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.816,0.117,-0.171,0.993,7.073,11.037,7.012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.827,0.1155,-0.161,0.9795,7.073,11.768,8.049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.837,0.114,-0.151,0.966,7.805,11.951,8.537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.847,0.104,-0.141,0.956,8.72,10.793,8.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.857,0.104,-0.127,0.952,8.11,10.427,8.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.868,0.0955,-0.124,0.9495,7.256,10.305,8.049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.876,0.087,-0.121,0.947,6.463,9.207,7.378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.887,0.092,-0.119,0.9464999999999999,5.793,8.476,6.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.897,0.097,-0.117,0.946,6.098,9.207,6.402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.907,0.093,-0.117,0.947,7.439,10.854,6.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.917,0.092,-0.112,0.947,8.537,12.012,5.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.928,0.08875,-0.11125,0.948,10.305,13.232,4.817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.936,0.08549999999999999,-0.1105,0.949,11.89,13.902,3.841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.947,0.08225,-0.10975,0.95,11.463,12.805,2.378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.957,0.079,-0.109,0.951,9.512,10.244,0.488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.967,0.079,-0.124,0.956,8.72,9.146,-0.366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.977,0.087,-0.136,0.963,9.939,10.488,0.122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.988,0.09,-0.135,0.9704999999999999,10.244,11.402,0.854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.998,0.093,-0.134,0.978,10.427,11.463,1.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.007,0.0895,-0.129,0.974,9.939,10.488,0.976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.017,0.086,-0.124,0.97,9.512,10.366,0.854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.027,0.083,-0.121,0.974,8.659,10.183,0.915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.038,0.08,-0.11649999999999999,0.9715,6.951,10.122,0.671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.048,0.077,-0.112,0.969,4.451,10.061,0.793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.058,0.074,-0.113,0.964,2.317,9.939,0.732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.068,0.072,-0.113,0.955,0.244,9.207,0.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.077,0.074,-0.1125,0.9455,-0.305,8.293,0.793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
