time;seconds_elapsed;z;y;x;;delta_time
1,74E+18;3,572708008;0,137021868;-0,194784814;-0,107852271;;0,010069092
1,74E+18;3,5827771;-0,172294257;0,243287838;-0,249300175;;0,010067871
1,74E+18;3,592844971;0,134320792;0,296508958;0,013938938;;0,010069092
1,74E+18;3,602914063;-0,353661462;0,569039768;0,090309591;;0,010068848
1,74E+18;3,61298291;0,385562913;0,077319752;0,22678631;;0,010068115
1,74E+18;3,623051025;-0,06606091;0,091087005;-0,051321323;;0,010068848
1,74E+18;3,633119873;-0,018774843;0,068951316;0,072874874;;0,010069092
1,74E+18;3,643188965;0,224248316;-0,024191799;0,14171588;;0,010069092
1,74E+18;3,653258057;-0,222727974;0,218653455;-0,000240949;;0,010067871
1,74E+18;3,663325928;-0,242787012;0,122162061;0,045443499;;0,010068848
1,74E+18;3,673394775;0,148979432;-0,085886158;-0,020184587;;0,010069336
1,74E+18;3,683464111;0,057114218;0,022780663;-0,127483493;;0,010067627
1,74E+18;3,693531738;-0,202969381;0,117389604;-0,031478515;;0,010069336
1,74E+18;3,703601074;0,176811442;0,126096313;-0,055672997;;0,010069092
1,74E+18;3,713670166;0,290852247;0,030287458;0,010753997;;0,010068848
1,74E+18;3,723739014;-0,199817054;0,2812293;-0,0513556;;0,010068115
1,74E+18;3,733807129;-0,180815417;0,174633952;0,00786245;;0,010068848
1,74E+18;3,743875977;0,246405787;-0,150734368;-0,108499072;;0,010069092
1,74E+18;3,753945068;-0,161797997;0,105340882;-0,005171345;;0,010067871
1,74E+18;3,764012939;-0,170637722;0,122518354;0,191156011;;0,010069092
1,74E+18;3,774082031;0,154065942;-0,246729831;0,164354404;;0,010068848
1,74E+18;3,784150879;0,07446049;-0,066959448;0,033699452;;0,010069092
1,74E+18;3,794219971;-0,148512984;0,19415406;0,04013583;;0,010067871
1,74E+18;3,804287842;0,042112464;-0,002718547;-0,103001762;;0,010069092
1,74E+18;3,814356934;0,14462299;-0,214872402;0,040111682;;0,010069092
1,74E+18;3,824426025;-0,203292622;0,152890285;-0,049745014;;0,010068115
1,74E+18;3,834494141;0,058427639;0,157189736;-0,057961638;;0,010068848
1,74E+18;3,844562988;-0,209576232;0,099777503;-0,105919248;;0,010069092
1,74E+18;3,85463208;0,186216984;-0,239844785;0,012786122;;0,010069092
1,74E+18;3,864701172;0,171123459;-0,156730722;0,008323914;;0,010067627
1,74E+18;3,874768799;-0,045554129;-0,161501645;0,24159698;;0,010069336
1,74E+18;3,884838135;-0,165108729;-0,095726812;0,158302775;;0,010068848
1,74E+18;3,894906982;-0,041209378;0,116406731;0,004629066;;0,010069092
1,74E+18;3,904976074;0,023594811;0,16738736;0,056568891;;0,010067871
1,74E+18;3,915043945;-0,059452306;0,01516922;-0,002470167;;0,010069092
1,74E+18;3,925113037;0,075510876;-0,358068611;-0,072369979;;0,010069092
1,74E+18;3,935182129;-0,081907883;-0,082647852;-0,116950199;;0,010067871
1,74E+18;3,94525;0,215128021;-0,250354525;-0,025960437;;0,010069092
1,74E+18;3,955319092;-0,11153496;0,174816651;0,149440273;;0,010068848
1,74E+18;3,965387939;-0,188152336;0,290613872;-0,042532964;;0,010069092
1,74E+18;3,975457031;0,305663447;-0,142261084;0,224064813;;0,010068115
1,74E+18;3,985525146;-0,162100195;0,050117117;0,062451214;;0,010068848
1,74E+18;3,995593994;0,170254275;-0,170383747;0,126149834;;0,010068848
1,74E+18;4,005662842;-0,154918175;-0,026789113;0,017489595;;0,010068359
1,74E+18;4,015731201;0,114728203;0,027399025;-0,057504935;;0,010068604
1,74E+18;4,025799805;-0,204002231;0,142862703;0,130989501;;0,010069336
1,74E+18;4,035869141;0,19732816;0,094507116;0,063399961;;0,010068604
1,74E+18;4,045937744;-0,083239424;0,200049;0,073085918;;0,010068115
1,74E+18;4,056005859;0,091230423;-0,240326358;-0,029353018;;0,010069092
1,74E+18;4,066074951;0,092435123;-0,165320472;0,041988673;;0,010069092
1,74E+18;4,076144043;-0,030716041;0,243521957;0,080408859;;0,010067627
1,74E+18;4,08621167;-0,013816344;0,265285661;-0,086003007;;0,010069336
1,74E+18;4,096281006;0,104558107;0,002140245;0,055426863;;0,010069092
1,74E+18;4,106350098;-0,032954175;-0,054521635;-0,069657999;;0,010068848
1,74E+18;4,116418945;-0,100747608;-0,029093828;-0,007579449;;0,010068115
1,74E+18;4,126487061;0,12582009;0,08843639;0,035224652;;0,010068848
1,74E+18;4,136555908;-0,035481063;0,183232269;0,029285923;;0,010069092
1,74E+18;4,146625;-0,086060911;0,050978684;0,028741389;;0,010067871
1,74E+18;4,156692871;-0,125461194;0,091961514;0,083679852;;0,010069336
1,74E+18;4,166762207;-1,083669097;0,501416686;-0,050333248;;0,010068604
1,74E+18;4,176830811;1,444159528;-1,205560908;0,169203561;;0,010069336
1,74E+18;4,186900146;-0,363919821;0,062060415;-0,059695426;;0,010067871
1,74E+18;4,196968018;0,197833772;0,165522461;-0,184848508;;0,010068848
1,74E+18;4,207036865;-0,113847328;0,151875565;-0,082788219;;0,010069336
1,74E+18;4,217106201;0,181686354;0,072178389;-0,253435046;;0,010067871
1,74E+18;4,227174072;-0,131198861;-0,091528867;-0,182200241;;0,010068848
1,74E+18;4,23724292;-0,177456754;0,065820087;-0,077771615;;0,010069092
1,74E+18;4,247312012;-0,064939213;0,05468985;0,068899778;;0,010068848
1,74E+18;4,257380859;-0,027387773;0,014693054;0,143352057;;0,010068115
1,74E+18;4,267448975;0,2856652;-0,292433963;0,157176548;;0,010069092
1,74E+18;4,277518066;-0,109683195;0,160048815;-0,086718398;;0,010068848
1,74E+18;4,287586914;0,086043376;0,070128315;-0,019188822;;0,010069092
1,74E+18;4,297656006;0,140810154;-0,312422676;0,130427374;;0,010067871
1,74E+18;4,307723877;-0,137662504;-0,092962188;0,053898293;;0,010069336
1,74E+18;4,317793213;-0,107421679;-0,143083223;-0,039221615;;0,010068848
1,74E+18;4,327862061;0,031600422;-0,181554125;-0,248747564;;0,010067871
1,74E+18;4,337929932;0,075749361;-0,272207588;-0,156115111;;0,010069336
1,74E+18;4,347999268;-0,061463061;0,034543718;0,096155623;;
1,74E+18;4,358067871;-0,12625439;0,022094124;0,147768001;;
1,74E+18;4,368137207;0,180196993;-0,172263113;0,150800857;;
1,74E+18;4,378205078;-0,327843715;0,390641751;-0,06547701;;
1,74E+18;4,388273926;0,393717578;-0,034176447;0,162414211;;
1,74E+18;4,398343018;0,089065938;-0,240604279;0,266808542;;
1,74E+18;4,408411133;-0,072972297;0,113401256;0,182743426;;
1,74E+18;4,418479736;0,048259881;0,002327429;0,011499791;;
1,74E+18;4,428549072;-0,227065711;-0,066650684;0,0211388;;
1,74E+18;4,438617676;0,090019294;-0,42028892;0,027875034;;
1,74E+18;4,448686035;-0,029969022;-0,379856884;-0,132378645;;
1,74E+18;4,458755127;0,212474876;-0,443899659;-0,299148732;;
1,74E+18;4,468823975;-0,13152327;0,002093045;-0,10321546;;
1,74E+18;4,47889209;-0,083476156;-0,070979352;-0,028409476;;
1,74E+18;4,488960938;-0,132406483;-0,087531413;-0,116422577;;
1,74E+18;4,499030029;-0,030500352;-0,11410134;-0,153505367;;
1,74E+18;4,509098877;0,56942895;-0,304656901;-0,321751974;;
1,74E+18;4,519166992;-0,271979789;-0,107961887;0,146313473;;
1,74E+18;4,529236084;-0,353844418;-0,082475801;0,116558167;;
1,74E+18;4,539304932;0,170633046;-0,188112844;-0,024027832;;
1,74E+18;4,549372803;-0,075675711;-0,158594616;-0,117408601;;
1,74E+18;4,559442139;0,306225173;-0,315641163;-0,19325976;;
1,74E+18;4,569510742;-0,023842648;-0,330578218;0,047323207;;
1,74E+18;4,579580078;-0,034609541;-0,178914533;0,070323897;;
1,74E+18;4,589647949;-0,294098682;0,015520463;0,006020498;;
1,74E+18;4,599717041;0,031081367;0,071707625;0,006324849;;
1,74E+18;4,609786133;0,685928254;-0,262213122;0,075609459;;
1,74E+18;4,619854736;-0,689981914;0,264104525;0,120276119;;
1,74E+18;4,629923096;0,445635397;-0,141437867;0,04635871;;
1,74E+18;4,639991943;-0,564872017;0,097087278;0,06338364;;
1,74E+18;4,650061035;0,477675964;-0,178364991;0,071678111;;
1,74E+18;4,660128906;-0,297738499;-0,261261338;0,126103236;;
1,74E+18;4,670197998;0,156426241;-0,121752293;-0,009559663;;
1,74E+18;4,680266846;-0,08014555;0,078391007;-0,039819202;;
1,74E+18;4,690335938;-0,179347682;0,234436679;-0,079746212;;
1,74E+18;4,700403809;0,031192426;0,601624818;-0,064581294;;
1,74E+18;4,710473145;-0,077286653;0,637020139;-0,074225512;;
1,74E+18;4,720541992;0,325990196;0,208690115;-0,099892864;;
1,74E+18;4,730610107;-0,224222597;0,278004748;0,09020919;;
1,74E+18;4,740679199;0,192222946;0,04470059;0,156869418;;
1,74E+18;4,750747803;-0,051534957;-0,088271153;0,152086276;;
1,74E+18;4,760817139;-0,135780343;-0,192044484;0,04642503;;
1,74E+18;4,77088501;-0,072329323;-0,196878626;-0,002754787;;
1,74E+18;4,780954102;0,229798936;-0,174224878;-0,101731898;;
1,74E+18;4,791022949;-0,2994681;0,231250998;-0,194936571;;
1,74E+18;4,801091064;0,348469154;0,172020299;-0,035972409;;
1,74E+18;4,811159912;-0,36305999;0,419206788;-0,038173556;;
1,74E+18;4,821229004;-0,011264321;0,180281913;0,061837584;;
1,74E+18;4,831298096;0,147353292;-0,05126762;0,141603095;;
1,74E+18;4,841365967;-0,05062018;0,150766233;0,092347819;;
1,74E+18;4,851435059;-0,123498369;0,484852249;0,086913062;;
1,74E+18;4,861503906;0,245965058;0,283518233;0,094624669;;
1,74E+18;4,871572021;-0,179307935;0,388086623;0,175013051;;
1,74E+18;4,881640869;0,027642625;0,140398249;0,07902051;;
1,74E+18;4,891709961;0,09707798;0,260763654;0,045359122;;
1,74E+18;4,901778809;0,024061259;0,26214698;0,111621095;;
1,74E+18;4,911847168;-0,163885325;0,238129286;-0,036517398;;
1,74E+18;4,921916016;0,016879823;0,338941995;-0,025582121;;
1,74E+18;4,931985107;0,253454537;-0,069609095;0,110440013;;
1,74E+18;4,942052979;-0,314411986;0,299739793;0,009664873;;
1,74E+18;4,95212207;0,827785872;0,267883551;-0,056933898;;
1,74E+18;4,962190918;-0,746554865;0,683971421;-0,003868902;;
1,74E+18;4,97226001;0,21156536;0,331191601;0,108748718;;
